"Package name","Release","Info"
"libpcre3:amd64","2:8.38-3.1","amd64 Perl 5 Compatible Regular Expression Library - runtime files "
"libperl5.22:amd64","5.22.1-9ubuntu0.6","amd64 shared Perl library "
"libpipeline1:amd64","1.4.1-2","amd64 pipeline manipulation library "
"libplymouth4:amd64","0.9.2-3ubuntu13.5","amd64 graphical boot animation and logger - shared libraries "
"libpng12-0:amd64","1.2.54-1ubuntu1.1","amd64 PNG library - runtime "
"libpolkit-agent-1-0:amd64","0.105-14.1ubuntu0.5","amd64 PolicyKit Authentication Agent API "
"libpolkit-backend-1-0:amd64","0.105-14.1ubuntu0.5","amd64 PolicyKit backend API "
"libpolkit-gobject-1-0:amd64","0.105-14.1ubuntu0.5","amd64 PolicyKit Authorization API "
"libpopt0:amd64","1.16-10","amd64 lib for parsing cmdline parameters "
"libprocps4:amd64","2:3.3.10-4ubuntu2.4","amd64 library for accessing process information from /proc "
"libpython2.7-minimal:amd64","2.7.12-1ubuntu0~16.04.9","amd64 Minimal subset of the Python language (version 2.7) "
"libpython2.7-stdlib:amd64","2.7.12-1ubuntu0~16.04.9","amd64 Interactive high-level object-oriented language (standard library, version 2.7) "
"libpython3.5:amd64","3.5.2-2ubuntu0~16.04.9","amd64 Shared Python runtime library (version 3.5) "
"libpython3.5-minimal:amd64","3.5.2-2ubuntu0~16.04.9","amd64 Minimal subset of the Python language (version 3.5) "
"libpython3.5-stdlib:amd64","3.5.2-2ubuntu0~16.04.9","amd64 Interactive high-level object-oriented language (standard library, version 3.5) "
"libpython3-stdlib:amd64","3.5.1-3","amd64 interactive high-level object-oriented language (default python3 version) "
"libpython-stdlib:amd64","2.7.12-1~16.04","amd64 interactive high-level object-oriented language (default python version) "
"libreadline5:amd64","5.2+dfsg-3build1","amd64 GNU readline and history libraries, run-time libraries "
"libreadline6:amd64","6.3-8ubuntu2","amd64 GNU readline and history libraries, run-time libraries "
"libroken18-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - roken support library "
"librtmp1:amd64","2.4+20151223.gitfa8646d-1ubuntu0.1","amd64 toolkit for RTMP streams (shared library) "
"libsasl2-2:amd64","2.1.26.dfsg1-14ubuntu0.1","amd64 Cyrus SASL - authentication abstraction library "
"libsasl2-modules:amd64","2.1.26.dfsg1-14ubuntu0.1","amd64 Cyrus SASL - pluggable authentication modules "
"libsasl2-modules-db:amd64","2.1.26.dfsg1-14ubuntu0.1","amd64 Cyrus SASL - pluggable authentication modules (DB) "
"libseccomp2:amd64","2.4.1-0ubuntu0.16.04.2","amd64 high level interface to Linux seccomp filter "
"libselinux1:amd64","2.4-3build2","amd64 SELinux runtime shared libraries "
"libsemanage1:amd64","2.3-1build3","amd64 SELinux policy management library "
"libsemanage-common","2.3-1build3","all Common files for SELinux policy management libraries "
"libsepol1:amd64","2.4-2","amd64 SELinux library for manipulating binary security policies "
"libserf-1-1:amd64","1.3.8-1","amd64 high-performance asynchronous HTTP client library "
"libsigsegv2:amd64","2.10-4","amd64 Library for handling page faults in a portable way "
"libslang2:amd64","2.3.0-2ubuntu1.1","amd64 S-Lang programming library - runtime version "
"libsmartcols1:amd64","2.27.1-6ubuntu3.6","amd64 smart column output alignment library "
"libsodium23:amd64","1.0.17-0.1+ubuntu16.04.1+deb.sury.org+1","amd64 Network communication, cryptography and signaturing library "
"libsqlite3-0:amd64","3.11.0-1ubuntu1.3","amd64 SQLite 3 shared library "
"libss2:amd64","1.42.13-1ubuntu1.1","amd64 command-line interface parsing library "
"libssl1.0.0:amd64","1.0.2g-1ubuntu4.15","amd64 Secure Sockets Layer toolkit - shared libraries "
"libssl1.1:amd64","1.1.1b-1+ubuntu16.04.1+deb.sury.org+1","amd64 Secure Sockets Layer toolkit - shared libraries "
"libstdc++6:amd64","5.4.0-6ubuntu1~16.04.12","amd64 GNU Standard C++ Library v3 "
"libsvn1:amd64","1.9.3-2ubuntu1.3","amd64 Shared libraries used by Apache Subversion "
"libsystemd0:amd64","229-4ubuntu21.21","amd64 systemd utility library "
"libtasn1-6:amd64","4.7-3ubuntu0.16.04.3","amd64 Manage ASN.1 structures (runtime) "
"libtext-charwidth-perl","0.04-7build5","amd64 get display widths of characters on the terminal "
"libtext-iconv-perl","1.7-5build4","amd64 converts between character sets in Perl "
"libtext-wrapi18n-perl","0.06-7.1","all internationalized substitute of Text::Wrap "
"libtiff5:amd64","4.0.6-1ubuntu0.7","amd64 Tag Image File Format (TIFF) library "
"libtimedate-perl","2.3000-2","all collection of modules to manipulate date/time information "
"libtinfo5:amd64","6.0+20160213-1ubuntu1","amd64 shared low-level terminfo library for terminal handling "
"libudev1:amd64","229-4ubuntu21.21","amd64 libudev shared library "
"liburi-perl","1.71-1","all module to manipulate and access URI strings "
"libusb-0.1-4:amd64","2:0.1.12-28","amd64 userspace USB programming library "
"libusb-1.0-0:amd64","2:1.0.20-1","amd64 userspace USB programming library "
"libustr-1.0-1:amd64","1.0.4-5","amd64 Micro string library: shared library "
"libutempter0:amd64","1.1.6-3","amd64 privileged helper for utmp/wtmp updates (runtime) "
"libuuid1:amd64","2.27.1-6ubuntu3.6","amd64 Universally Unique ID library "
"libwebp6:amd64","0.6.0-4+ubuntu16.04.1+deb.sury.org+1","amd64 Lossy compression of digital photographic images. "
"libwind0-heimdal:amd64","1.7~git20150920+dfsg-4ubuntu1.16.04.1","amd64 Heimdal Kerberos - stringprep implementation "
"libwrap0:amd64","7.6.q-25","amd64 Wietse Venema's TCP wrappers library "
"libx11-6:amd64","2:1.6.3-1ubuntu2.1","amd64 X11 client-side library "
"libx11-data","2:1.6.3-1ubuntu2.1","all X11 client-side library "
"libxau6:amd64","1:1.0.8-1","amd64 X11 authorisation library "
"libxcb1:amd64","1.11.1-1ubuntu1","amd64 X C Binding "
"libxdmcp6:amd64","1:1.1.2-1.1","amd64 X11 Display Manager Control Protocol library "
"libxext6:amd64","2:1.3.3-1","amd64 X11 miscellaneous extension library "
"libxml2:amd64","2.9.3+dfsg1-1ubuntu0.6","amd64 GNOME XML library "
"libxmuu1:amd64","2:1.1.2-2","amd64 X11 miscellaneous micro-utility library "
"libxpm4:amd64","1:3.5.11-1ubuntu0.16.04.1","amd64 X11 pixmap library "
"libxslt1.1:amd64","1.1.28-2.1ubuntu0.3","amd64 XSLT 1.0 processing library - runtime library "
"libxtables11:amd64","1.6.0-2ubuntu3","amd64 netfilter xtables library "
"libzip5:amd64","1.3.2-1+ubuntu16.04.1+deb.sury.org+1","amd64 library for reading, creating, and modifying zip archives (runtime) "
"linux-base","4.5ubuntu1~16.04.1","all Linux image base package "
"linux-firmware","1.157.22","all Firmware for Linux kernel drivers "
"linux-generic","4.4.0.171.179","amd64 Complete Generic Linux kernel and headers "
"linux-headers-4.4.0-169","4.4.0-169.198","all Header files related to Linux kernel version 4.4.0 "
"linux-headers-4.4.0-169-generic","4.4.0-169.198","amd64 Linux kernel headers for version 4.4.0 on 64 bit x86 SMP "
"linux-headers-4.4.0-170","4.4.0-170.199","all Header files related to Linux kernel version 4.4.0 "
"linux-headers-4.4.0-170-generic","4.4.0-170.199","amd64 Linux kernel headers for version 4.4.0 on 64 bit x86 SMP "
"linux-headers-4.4.0-171","4.4.0-171.200","all Header files related to Linux kernel version 4.4.0 "
"linux-headers-4.4.0-171-generic","4.4.0-171.200","amd64 Linux kernel headers for version 4.4.0 on 64 bit x86 SMP "
"linux-headers-4.4.0-62","4.4.0-62.83","all Header files related to Linux kernel version 4.4.0 "
"linux-headers-4.4.0-62-generic","4.4.0-62.83","amd64 Linux kernel headers for version 4.4.0 on 64 bit x86 SMP "
"linux-headers-generic","4.4.0.171.179","amd64 Generic Linux kernel headers "
"linux-image-4.4.0-169-generic","4.4.0-169.198","amd64 Signed kernel image generic "
"linux-image-4.4.0-170-generic","4.4.0-170.199","amd64 Signed kernel image generic "
"linux-image-4.4.0-171-generic","4.4.0-171.200","amd64 Signed kernel image generic "
"linux-image-4.4.0-62-generic","4.4.0-62.83","amd64 Linux kernel image for version 4.4.0 on 64 bit x86 SMP "
"linux-image-extra-4.4.0-62-generic","4.4.0-62.83","amd64 Linux kernel extra modules for version 4.4.0 on 64 bit x86 SMP "
"linux-image-generic","4.4.0.171.179","amd64 Generic Linux kernel image "
"linux-modules-4.4.0-169-generic","4.4.0-169.198","amd64 Linux kernel extra modules for version 4.4.0 on 64 bit x86 SMP "
"linux-modules-4.4.0-170-generic","4.4.0-170.199","amd64 Linux kernel extra modules for version 4.4.0 on 64 bit x86 SMP "
"linux-modules-4.4.0-171-generic","4.4.0-171.200","amd64 Linux kernel extra modules for version 4.4.0 on 64 bit x86 SMP "
"linux-modules-extra-4.4.0-169-generic","4.4.0-169.198","amd64 Linux kernel extra modules for version 4.4.0 on 64 bit x86 SMP "
"linux-modules-extra-4.4.0-170-generic","4.4.0-170.199","amd64 Linux kernel extra modules for version 4.4.0 on 64 bit x86 SMP "
"linux-modules-extra-4.4.0-171-generic","4.4.0-171.200","amd64 Linux kernel extra modules for version 4.4.0 on 64 bit x86 SMP "
"locales","2.23-0ubuntu11","all GNU C Library: National Language (locale) data [support] "
"login","1:4.2-3.1ubuntu5.3","amd64 system login tools "
"logrotate","3.8.7-2ubuntu2.16.04.2","amd64 Log rotation utility "
"lsb-base","9.20160110ubuntu0.2","all Linux Standard Base init script functionality "
"lsb-release","9.20160110ubuntu0.2","all Linux Standard Base version reporting utility "
"lshw","02.17-1.1ubuntu3.5","amd64 information about hardware configuration "
"lsof","4.89+dfsg-0.1","amd64 Utility to list open files "
"ltrace","0.7.3-5.1ubuntu4","amd64 Tracks runtime library calls in dynamically linked programs "
"lvm2","2.02.133-1ubuntu10","amd64 Linux Logical Volume Manager "
"lxc-common","2.0.8-0ubuntu1~16.04.2","amd64 Linux Containers userspace tools (common tools) "
"lxcfs","2.0.8-0ubuntu1~16.04.2","amd64 FUSE based filesystem for LXC "
"lxd","2.0.11-0ubuntu1~16.04.4","amd64 Container hypervisor based on LXC - daemon "
"lxd-client","2.0.11-0ubuntu1~16.04.4","amd64 Container hypervisor based on LXC - client "
"makedev","2.3.1-93ubuntu2~ubuntu16.04.1","all creates device files in /dev "
"man-db","2.7.5-1","amd64 on-line manual pager "
"manpages","4.04-2","all Manual pages about using a GNU/Linux system "
"mawk","1.3.3-17ubuntu2","amd64 a pattern scanning and text processing language "
"mdadm","3.3-2ubuntu7.6","amd64 tool to administer Linux MD arrays (software RAID) "
"mime-support","3.59ubuntu1","all MIME files 'mime.types' & 'mailcap', and support programs "
"mlocate","0.26-1ubuntu2","amd64 quickly find files on the filesystem based on their name "
"mount","2.27.1-6ubuntu3.6","amd64 tools for mounting and manipulating filesystems "
"mtr-tiny","0.86-1ubuntu0.1","amd64 Full screen ncurses traceroute tool "
"multiarch-support","2.23-0ubuntu11","amd64 Transitional package to ensure multiarch compatibility "
"mysql-client-5.7","5.7.28-0ubuntu0.16.04.2","amd64 MySQL database client binaries "
"mysql-client-core-5.7","5.7.28-0ubuntu0.16.04.2","amd64 MySQL database core client binaries "
"mysql-common","5.7.28-0ubuntu0.16.04.2","all MySQL database common files, e.g. /etc/mysql/my.cnf "
"mysql-server","5.7.28-0ubuntu0.16.04.2","all MySQL database server (metapackage depending on the latest version) "
"mysql-server-5.7","5.7.28-0ubuntu0.16.04.2","amd64 MySQL database server binaries and system database setup "
"mysql-server-core-5.7","5.7.28-0ubuntu0.16.04.2","amd64 MySQL database server binaries "
"nano","2.5.3-2ubuntu2","amd64 small, friendly text editor inspired by Pico "
"ncurses-base","6.0+20160213-1ubuntu1","all basic terminal type definitions "
"ncurses-bin","6.0+20160213-1ubuntu1","amd64 terminal-related programs and man pages "
"ncurses-term","6.0+20160213-1ubuntu1","all additional terminal type definitions "
"netbase","5.3","all Basic TCP/IP networking system "
"netcat-openbsd","1.105-7ubuntu1","amd64 TCP/IP swiss army knife "
"net-tools","1.60-26ubuntu1","amd64 NET-3 networking toolkit "
"ntfs-3g","1:2015.3.14AR.1-1ubuntu0.3","amd64 read/write NTFS driver for FUSE "
"open-iscsi","2.0.873+git0.3b4b4500-14ubuntu3.7","amd64 iSCSI initiator tools "
"openssh-client","1:7.2p2-4ubuntu2.8","amd64 secure shell (SSH) client, for secure access to remote machines "
"openssh-server","1:7.2p2-4ubuntu2.8","amd64 secure shell (SSH) server, for secure access from remote machines "
"openssh-sftp-server","1:7.2p2-4ubuntu2.8","amd64 secure shell (SSH) sftp server module, for SFTP access from remote machines "
"openssl","1.0.2g-1ubuntu4.15","amd64 Secure Sockets Layer toolkit - cryptographic utility "
"open-vm-tools","2:10.0.7-3227872-5ubuntu1~16.04.1","amd64 Open VMware Tools for virtual machines hosted on VMware (CLI) "
"os-prober","1.70ubuntu3.3","amd64 utility to detect other OSes on a set of drives "
"overlayroot","0.27ubuntu1.6","all use an overlayfs on top of a read-only root filesystem "
"parted","3.2-15ubuntu0.1","amd64 disk partition manipulator "
"passwd","1:4.2-3.1ubuntu5.3","amd64 change and administer password and group data "
"pastebinit","1.5-1","all command-line pastebin client "
"patch","2.7.5-1ubuntu0.16.04.2","amd64 Apply a diff file to an original "
"pciutils","1:3.3.1-1.1ubuntu1.3","amd64 Linux PCI Utilities "
"perl","5.22.1-9ubuntu0.6","amd64 Larry Wall's Practical Extraction and Report Language "
"perl-base","5.22.1-9ubuntu0.6","amd64 minimal Perl system "
"perl-modules-5.22","5.22.1-9ubuntu0.6","all Core Perl modules "
"php7.0-common","7.0.33-5+ubuntu16.04.1+deb.sury.org+1","amd64 documentation, examples and common module for PHP "
"php7.0-mcrypt","7.0.33-5+ubuntu16.04.1+deb.sury.org+1","amd64 libmcrypt module for PHP "
"php7.3","7.3.2-3+ubuntu16.04.1+deb.sury.org+1","all server-side, HTML-embedded scripting language (metapackage) "
"php7.3-cli","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 command-line interpreter for the PHP scripting language "
"php7.3-common","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 documentation, examples and common module for PHP "
"php7.3-curl","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 CURL module for PHP "
"php7.3-gd","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 GD module for PHP "
"php7.3-json","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 JSON module for PHP "
"php7.3-mbstring","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 MBSTRING module for PHP "
"php7.3-mysql","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 MySQL module for PHP "
"php7.3-opcache","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 Zend OpCache module for PHP "
"php7.3-readline","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 readline module for PHP "
"php7.3-xml","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 DOM, SimpleXML, WDDX, XML, and XSL module for PHP "
"php7.3-zip","7.3.3-1+ubuntu16.04.1+deb.sury.org+1","amd64 Zip module for PHP "
"php-common","2:69+ubuntu16.04.1+deb.sury.org+1","all Common files for PHP packages "
"php-fpdf","3:1.7.dfsg-1.1ubuntu1","all PHP class to generate PDF files "
"php-mcrypt","1:7.0+35ubuntu6.1","all libmcrypt module for PHP [default] "
"php-xdebug","2.7.0+2.5.5-1+ubuntu16.04.1+deb.sury.org+1","amd64 Xdebug Module for PHP "
"plymouth","0.9.2-3ubuntu13.5","amd64 boot animation, logger and I/O multiplexer "
"plymouth-theme-ubuntu-text","0.9.2-3ubuntu13.5","amd64 boot animation, logger and I/O multiplexer - ubuntu text theme "
"policykit-1","0.105-14.1ubuntu0.5","amd64 framework for managing administrative policies and privileges "
"popularity-contest","1.64ubuntu2","all Vote for your favourite packages automatically "
"powermgmt-base","1.31+nmu1","all Common utils and configs for power management "
"procps","2:3.3.10-4ubuntu2.4","amd64 /proc file system utilities "
"psmisc","22.21-2.1build1","amd64 utilities that use the proc file system "
"python","2.7.12-1~16.04","amd64 interactive high-level object-oriented language (default version) "
"python2.7","2.7.12-1ubuntu0~16.04.9","amd64 Interactive high-level object-oriented language (version 2.7) "
"python2.7-minimal","2.7.12-1ubuntu0~16.04.9","amd64 Minimal subset of the Python language (version 2.7) "
"python3","3.5.1-3","amd64 interactive high-level object-oriented language (default python3 version) "
"python3.5","3.5.2-2ubuntu0~16.04.9","amd64 Interactive high-level object-oriented language (version 3.5) "
"python3.5-minimal","3.5.2-2ubuntu0~16.04.9","amd64 Minimal subset of the Python language (version 3.5) "
"python3-apport","2.20.1-0ubuntu2.21","all Python 3 library for Apport crash report handling "
"python3-apt","1.1.0~beta1ubuntu0.16.04.2","amd64 Python 3 interface to libapt-pkg "
"python3-chardet","2.3.0-2","all universal character encoding detector for Python3 "
"python3-commandnotfound","0.3ubuntu16.04.2","all Python 3 bindings for command-not-found. "
"python3-dbus","1.2.0-3","amd64 simple interprocess messaging system (Python 3 interface) "
"python3-debian","0.1.27ubuntu2","all Python 3 modules to work with Debian-related data formats "
"python3-distupgrade","1:16.04.26","all manage release upgrades "
"python3-gdbm:amd64","3.5.1-1","amd64 GNU dbm database support for Python 3.x "
"python3-gi","3.20.0-0ubuntu1","amd64 Python 3 bindings for gobject-introspection libraries "
"python3-minimal","3.5.1-3","amd64 minimal subset of the Python language (default python3 version) "
"python3-newt","0.52.18-1ubuntu2","amd64 NEWT module for Python3 "
"python3-pkg-resources","20.7.0-1","all Package Discovery and Resource Access using pkg_resources "
"python3-problem-report","2.20.1-0ubuntu2.21","all Python 3 library to handle problem reports "
"python3-pycurl","7.43.0-1ubuntu1","amd64 Python bindings to libcurl (Python 3) "
"python3-requests","2.9.1-3ubuntu0.1","all elegant and simple HTTP library for Python3, built for human beings "
"python3-six","1.10.0-3","all Python 2 and 3 compatibility library (Python 3 interface) "
"python3-software-properties","0.96.20.8","all manage the repositories that you install software from "
"python3-systemd","231-2build1","amd64 Python 3 bindings for systemd "
"python3-update-manager","1:16.04.15","all python 3.x module for update-manager "
"python3-urllib3","1.13.1-2ubuntu0.16.04.3","all HTTP library with thread-safe connection pooling for Python3 "
"python-apt","1.1.0~beta1ubuntu0.16.04.2","amd64 Python interface to libapt-pkg "
"python-apt-common","1.1.0~beta1ubuntu0.16.04.2","all Python interface to libapt-pkg (locales) "
"python-minimal","2.7.12-1~16.04","amd64 minimal subset of the Python language (default version) "
"python-pycurl","7.43.0-1ubuntu1","amd64 Python bindings to libcurl "
"python-software-properties","0.96.20.8","all manage the repositories that you install software from "
"readline-common","6.3-8ubuntu2","all GNU readline and history libraries, common files "
"rename","0.20-4","all Perl extension for renaming multiple files "
"resolvconf","1.78ubuntu6","all name server information handler "
"rsync","3.1.1-3ubuntu1.2","amd64 fast, versatile, remote (and local) file-copying tool "
"rsyslog","8.16.0-1ubuntu3","amd64 reliable system and kernel logging daemon "
"run-one","1.17-0ubuntu1","all run just one instance of a command and its args at a time "
"screen","4.3.1-2build1","amd64 terminal multiplexer with VT100/ANSI terminal emulation "
"sed","4.2.2-7","amd64 The GNU sed stream editor "
"sensible-utils","0.0.9ubuntu0.16.04.1","all Utilities for sensible alternative selection "
"sgml-base","1.26+nmu4ubuntu1","all SGML infrastructure and SGML catalog file support "
"shared-mime-info","1.5-2ubuntu0.2","amd64 FreeDesktop.org shared MIME database and spec "
"snap-confine","2.37.4ubuntu0.1","amd64 Transitional package for snapd "
"snapd","2.37.4ubuntu0.1","amd64 Daemon and tooling that enable snap packages "
"software-properties-common","0.96.20.8","all manage the repositories that you install software from (common) "
"sosreport","3.6-1ubuntu0.16.04.2","amd64 Set of tools to gather troubleshooting data from a system "
"squashfs-tools","1:4.3-3ubuntu2.16.04.3","amd64 Tool to create and append to squashfs filesystems "
"ssh-import-id","5.5-0ubuntu1","all securely retrieve an SSH public key and install it locally "
"ssl-cert","1.0.37","all simple debconf wrapper for OpenSSL "
"strace","4.11-1ubuntu3","amd64 System call tracer "
"subversion","1.9.3-2ubuntu1.3","amd64 Advanced version control system "
"sudo","1.8.16-0ubuntu1.8","amd64 Provide limited super user privileges to specific users "
"systemd","229-4ubuntu21.21","amd64 system and service manager "
"systemd-sysv","229-4ubuntu21.21","amd64 system and service manager - SysV links "
"sysvinit-utils","2.88dsf-59.3ubuntu2","amd64 System-V-like utilities "
"sysv-rc","2.88dsf-59.3ubuntu2","all System-V-like runlevel change mechanism "
"tar","1.28-2.1ubuntu0.1","amd64 GNU version of the tar archiving utility "
"tasksel","3.34ubuntu3","all tool for selecting tasks for installation on Debian systems "
"tasksel-data","3.34ubuntu3","all official tasks used for installation of Debian systems "
"tcpd","7.6.q-25","amd64 Wietse Venema's TCP wrapper utilities "
"tcpdump","4.9.2-0ubuntu0.16.04.1","amd64 command-line network traffic analyzer "
"telnet","0.17-40","amd64 basic telnet client "
"time","1.7-25.1","amd64 GNU time program for measuring CPU resource usage "
"tmux","2.1-3build1","amd64 terminal multiplexer "
"tzdata","2019c-0ubuntu0.16.04","all time zone and daylight-saving time data "
"ubuntu-cloudimage-keyring","2013.11.11","all GnuPG keys of the Ubuntu Cloud Image builder "
"ubuntu-core-launcher","2.37.4ubuntu0.1","amd64 Transitional package for snapd "
"ubuntu-keyring","2012.05.19","all GnuPG keys of the Ubuntu archive "
"ubuntu-minimal","1.361","amd64 Minimal core of Ubuntu "
"ubuntu-release-upgrader-core","1:16.04.26","all manage release upgrades "
"ubuntu-server","1.361.2","amd64 The Ubuntu Server system "
"ubuntu-standard","1.361.2","amd64 The Ubuntu standard system "
"ucf","3.0036","all Update Configuration File(s): preserve user changes to config files "
"udev","229-4ubuntu21.21","amd64 /dev/ and hotplug management daemon "
"ufw","0.35-0ubuntu2","all program for managing a Netfilter firewall "
"uidmap","1:4.2-3.1ubuntu5.3","amd64 programs to help use subuids "
"unattended-upgrades","0.90ubuntu0.10","all automatic installation of security upgrades "
"update-manager-core","1:16.04.15","all manage release upgrades "
"update-notifier-common","3.168.10","all Files shared between update-notifier and other packages "
"ureadahead","0.100.0-19","amd64 Read required files in advance "
"usbutils","1:007-4","amd64 Linux USB utilities "
"util-linux","2.27.1-6ubuntu3.6","amd64 miscellaneous system utilities "
"uuid-runtime","2.27.1-6ubuntu3.6","amd64 runtime components for the Universally Unique ID library "
"vim","2:7.4.1689-3ubuntu1.3","amd64 Vi IMproved - enhanced vi editor "
"vim-common","2:7.4.1689-3ubuntu1.3","amd64 Vi IMproved - Common files "
"vim-runtime","2:7.4.1689-3ubuntu1.3","all Vi IMproved - Runtime files "
"vim-tiny","2:7.4.1689-3ubuntu1.3","amd64 Vi IMproved - enhanced vi editor - compact version "
"vlan","1.9-3.2ubuntu1.16.04.5","amd64 user mode programs to enable VLANs on your ethernet devices "
"wget","1.17.1-1ubuntu1.5","amd64 retrieves files from the web "
"whiptail","0.52.18-1ubuntu2","amd64 Displays user-friendly dialog boxes from shell scripts "
"wireless-regdb","2018.05.09-0ubuntu1~16.04.1","all wireless regulatory database "
"xauth","1:1.0.9-1ubuntu2","amd64 X authentication utility "
"xdg-user-dirs","0.15-2ubuntu6.16.04.1","amd64 tool to manage well known user directories "
"xfsprogs","4.3.0+nmu1ubuntu1.1","amd64 Utilities for managing the XFS filesystem "
"xkb-data","2.16-1ubuntu1","all X Keyboard Extension (XKB) configuration data "
"xml-core","0.13+nmu2","all XML infrastructure and XML catalog file support "
"xz-utils","5.1.1alpha+20120614-2ubuntu2","amd64 XZ-format compression utilities "
"zerofree","1.0.3-1","amd64 zero free blocks from ext2, ext3 and ext4 file-systems "
"zlib1g:amd64","1:1.2.8.dfsg-2ubuntu4.1","amd64 compression library - runtime "
